NAMESPACE                   NAME                                                              READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS                                             IMAGES                                                                                                     SELECTOR
argocd                      deployment.apps/argocd-applicationset-controller                  1/1     1            1           145d   applicationset-controller                              quay.io/argoproj/argocd:v3.1.0                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-applicationset-controller
argocd                      deployment.apps/argocd-dex-server                                 1/1     1            1           145d   dex-server                                             ghcr.io/dexidp/dex:v2.43.1                                                                                 app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-dex-server
argocd                      deployment.apps/argocd-notifications-controller                   1/1     1            1           145d   notifications-controller                               quay.io/argoproj/argocd:v3.1.0                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-notifications-controller
argocd                      deployment.apps/argocd-redis                                      1/1     1            1           145d   redis                                                  ecr-public.aws.com/docker/library/redis:7.2.8-alpine                                                       app.kubernetes.io/name=argocd-redis
argocd                      deployment.apps/argocd-repo-server                                1/1     1            1           145d   repo-server                                            quay.io/argoproj/argocd:v3.1.0                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-repo-server
argocd                      deployment.apps/argocd-server                                     1/1     1            1           145d   server                                                 quay.io/argoproj/argocd:v3.1.0                                                                             app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-server
bookstack                   deployment.apps/bookstack                                         1/1     1            1           44m    bookstack                                              linuxserver/bookstack:latest                                                                               app=bookstack
bookstack                   deployment.apps/mysql                                             1/1     1            1           44m    mysql                                                  mysql:8.0                                                                                                  app=mysql
cattle-capi-system          deployment.apps/capi-controller-manager                           1/1     1            1           134m   manager                                                rancher/cluster-api-controller:v1.10.6                                                                     cluster.x-k8s.io/provider=cluster-api,control-plane=controller-manager
cattle-fleet-local-system   deployment.apps/fleet-agent                                       1/1     1            1           135m   fleet-agent                                            rancher/fleet-agent:v0.14.1                                                                                app=fleet-agent
cattle-fleet-system         deployment.apps/fleet-controller                                  1/1     1            1           136m   fleet-controller,fleet-cleanup,fleet-agentmanagement   rancher/fleet:v0.14.1,rancher/fleet:v0.14.1,rancher/fleet:v0.14.1                                          app=fleet-controller
cattle-fleet-system         deployment.apps/gitjob                                            1/1     1            1           136m   gitjob                                                 rancher/fleet:v0.14.1                                                                                      app=gitjob
cattle-fleet-system         deployment.apps/helmops                                           1/1     1            1           136m   helmops                                                rancher/fleet:v0.14.1                                                                                      app=helmops
cattle-system               deployment.apps/rancher                                           1/1     1            1           137m   rancher                                                rancher/rancher:v2.13.1                                                                                    app=rancher
cattle-system               deployment.apps/rancher-webhook                                   1/1     1            1           135m   rancher-webhook                                        rancher/rancher-webhook:v0.9.1                                                                             app=rancher-webhook
cattle-system               deployment.apps/system-upgrade-controller                         1/1     1            1           134m   system-upgrade-controller                              rancher/system-upgrade-controller:v0.17.0                                                                  upgrade.cattle.io/controller=system-upgrade-controller
cattle-turtles-system       deployment.apps/rancher-turtles-controller-manager                1/1     1            1           134m   manager                                                rancher/turtles:v0.25.1                                                                                    control-plane=controller-manager
cert-manager                deployment.apps/cert-manager                                      1/1     1            1           138m   cert-manager-controller                                quay.io/jetstack/cert-manager-controller:v1.14.4                                                           app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager                deployment.apps/cert-manager-cainjector                           1/1     1            1           138m   cert-manager-cainjector                                quay.io/jetstack/cert-manager-cainjector:v1.14.4                                                           app.kubernetes.io/component=cainjector,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cainjector
cert-manager                deployment.apps/cert-manager-webhook                              1/1     1            1           138m   cert-manager-webhook                                   quay.io/jetstack/cert-manager-webhook:v1.14.4                                                              app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
default                     deployment.apps/whoami                                            1/1     1            1           145d   whoami                                                 traefik/whoami                                                                                             app=whoami
homarr                      deployment.apps/homarr                                            1/1     1            1           31m    homarr                                                 ghcr.io/homarr-labs/homarr:latest                                                                          app=homarr
homer                       deployment.apps/homer                                             1/1     1            1           84m    homer                                                  b4bz/homer:latest                                                                                          app=homer
kube-system                 deployment.apps/coredns                                           1/1     1            1           145d   coredns                                                rancher/mirrored-coredns-coredns:1.12.1                                                                    k8s-app=kube-dns
kube-system                 deployment.apps/local-path-provisioner                            1/1     1            1           145d   local-path-provisioner                                 rancher/local-path-provisioner:v0.0.31                                                                     app=local-path-provisioner
kube-system                 deployment.apps/metrics-server                                    1/1     1            1           145d   metrics-server                                         rancher/mirrored-metrics-server:v0.7.2                                                                     k8s-app=metrics-server
kube-system                 deployment.apps/traefik                                           1/1     1            1           145d   traefik                                                rancher/mirrored-library-traefik:3.3.6                                                                     app.kubernetes.io/instance=traefik-kube-system,app.kubernetes.io/name=traefik
metallb-system              deployment.apps/metallb-controller                                1/1     1            1           145d   controller                                             quay.io/metallb/controller:v0.15.2                                                                         app.kubernetes.io/component=controller,app.kubernetes.io/instance=metallb,app.kubernetes.io/name=metallb
observability               deployment.apps/kps-grafana                                       1/1     1            1           145d   grafana-sc-dashboard,grafana-sc-datasources,grafana    quay.io/kiwigrid/k8s-sidecar:1.30.3,quay.io/kiwigrid/k8s-sidecar:1.30.3,docker.io/grafana/grafana:12.1.0   app.kubernetes.io/instance=kps,app.kubernetes.io/name=grafana
observability               deployment.apps/kps-kube-prometheus-stack-operator                1/1     1            1           145d   kube-prometheus-stack                                  quay.io/prometheus-operator/prometheus-operator:v0.84.1                                                    app=kube-prometheus-stack-operator,release=kps
observability               deployment.apps/kps-kube-state-metrics                            1/1     1            1           145d   kube-state-metrics                                     registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.16.0                                              app.kubernetes.io/instance=kps,app.kubernetes.io/name=kube-state-metrics
observability               deployment.apps/proxmox-exporter                                  1/1     1            1           3d3h   proxmox-exporter                                       prompve/prometheus-pve-exporter:latest                                                                     app=proxmox-exporter
storage                     deployment.apps/nfs-provisioner-nfs-subdir-external-provisioner   1/1     1            1           145d   nfs-subdir-external-provisioner                        registry.k8s.io/sig-storage/nfs-subdir-external-provisioner:v4.0.2                                         app=nfs-subdir-external-provisioner,release=nfs-provisioner
uptime-kuma                 deployment.apps/uptime-kuma                                       1/1     1            1           84m    uptime-kuma                                            louislam/uptime-kuma:1                                                                                     app=uptime-kuma

NAMESPACE             NAME                                                        TYPE           CLUSTER-IP      EXTERNAL-IP     PORT(S)                        AGE    SELECTOR
argocd                service/argocd-applicationset-controller                    ClusterIP      10.43.143.251   <none>          7000/TCP                       145d   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-applicationset-controller
argocd                service/argocd-dex-server                                   ClusterIP      10.43.182.240   <none>          5556/TCP,5557/TCP              145d   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-dex-server
argocd                service/argocd-redis                                        ClusterIP      10.43.11.151    <none>          6379/TCP                       145d   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-redis
argocd                service/argocd-repo-server                                  ClusterIP      10.43.59.94     <none>          8081/TCP                       145d   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-repo-server
argocd                service/argocd-server                                       ClusterIP      10.43.242.12    <none>          80/TCP,443/TCP                 145d   app.kubernetes.io/instance=argocd,app.kubernetes.io/name=argocd-server
bookstack             service/bookstack                                           ClusterIP      10.43.255.146   <none>          80/TCP                         44m    app=bookstack
bookstack             service/mysql                                               ClusterIP      10.43.207.64    <none>          3306/TCP                       44m    app=mysql
cattle-capi-system    service/capi-webhook-service                                ClusterIP      10.43.212.130   <none>          443/TCP                        134m   cluster.x-k8s.io/provider=cluster-api
cattle-fleet-system   service/gitjob                                              ClusterIP      10.43.242.41    <none>          80/TCP                         136m   app=gitjob
cattle-fleet-system   service/monitoring-fleet-controller                         ClusterIP      10.43.173.86    <none>          8080/TCP                       136m   app=fleet-controller,fleet.cattle.io/shard-default=true
cattle-fleet-system   service/monitoring-gitjob                                   ClusterIP      10.43.65.16     <none>          8081/TCP                       136m   app=gitjob,fleet.cattle.io/shard-default=true
cattle-system         service/imperative-api-extension                            ClusterIP      10.43.71.235    <none>          6666/TCP                       136m   app=rancher
cattle-system         service/rancher                                             ClusterIP      10.43.149.212   <none>          80/TCP,443/TCP                 137m   app=rancher
cattle-system         service/rancher-webhook                                     ClusterIP      10.43.234.78    <none>          443/TCP                        135m   app=rancher-webhook
cert-manager          service/cert-manager                                        ClusterIP      10.43.98.187    <none>          9402/TCP                       138m   app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager          service/cert-manager-webhook                                ClusterIP      10.43.188.50    <none>          443/TCP                        138m   app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
default               service/kubernetes                                          ClusterIP      10.43.0.1       <none>          443/TCP                        145d   <none>
default               service/whoami                                              ClusterIP      10.43.155.245   <none>          80/TCP                         145d   app=whoami
homarr                service/homarr                                              ClusterIP      10.43.25.245    <none>          7575/TCP                       31m    app=homarr
homer                 service/homer                                               ClusterIP      10.43.5.197     <none>          80/TCP                         84m    app=homer
kube-system           service/kps-kube-prometheus-stack-coredns                   ClusterIP      None            <none>          9153/TCP                       145d   k8s-app=kube-dns
kube-system           service/kps-kube-prometheus-stack-kube-controller-manager   ClusterIP      None            <none>          10257/TCP                      145d   component=kube-controller-manager
kube-system           service/kps-kube-prometheus-stack-kube-etcd                 ClusterIP      None            <none>          2381/TCP                       145d   component=etcd
kube-system           service/kps-kube-prometheus-stack-kube-proxy                ClusterIP      None            <none>          10249/TCP                      145d   k8s-app=kube-proxy
kube-system           service/kps-kube-prometheus-stack-kube-scheduler            ClusterIP      None            <none>          10259/TCP                      145d   component=kube-scheduler
kube-system           service/kps-kube-prometheus-stack-kubelet                   ClusterIP      None            <none>          10250/TCP,10255/TCP,4194/TCP   145d   <none>
kube-system           service/kube-dns                                            ClusterIP      10.43.0.10      <none>          53/UDP,53/TCP,9153/TCP         145d   k8s-app=kube-dns
kube-system           service/metrics-server                                      ClusterIP      10.43.111.190   <none>          443/TCP                        145d   k8s-app=metrics-server
kube-system           service/traefik                                             LoadBalancer   10.43.104.41    192.168.1.231   80:31562/TCP,443:32730/TCP     145d   app.kubernetes.io/instance=traefik-kube-system,app.kubernetes.io/name=traefik
metallb-system        service/metallb-webhook-service                             ClusterIP      10.43.244.175   <none>          443/TCP                        145d   app.kubernetes.io/component=controller,app.kubernetes.io/instance=metallb,app.kubernetes.io/name=metallb
observability         service/alertmanager-operated                               ClusterIP      None            <none>          9093/TCP,9094/TCP,9094/UDP     145d   app.kubernetes.io/name=alertmanager
observability         service/kps-grafana                                         ClusterIP      10.43.4.63      <none>          80/TCP                         145d   app.kubernetes.io/instance=kps,app.kubernetes.io/name=grafana
observability         service/kps-kube-prometheus-stack-alertmanager              ClusterIP      10.43.9.237     <none>          9093/TCP,8080/TCP              145d   alertmanager=kps-kube-prometheus-stack-alertmanager,app.kubernetes.io/name=alertmanager
observability         service/kps-kube-prometheus-stack-operator                  ClusterIP      10.43.213.132   <none>          443/TCP                        145d   app=kube-prometheus-stack-operator,release=kps
observability         service/kps-kube-prometheus-stack-prometheus                ClusterIP      10.43.95.93     <none>          9090/TCP,8080/TCP              145d   app.kubernetes.io/name=prometheus,operator.prometheus.io/name=kps-kube-prometheus-stack-prometheus
observability         service/kps-kube-state-metrics                              ClusterIP      10.43.135.65    <none>          8080/TCP                       145d   app.kubernetes.io/instance=kps,app.kubernetes.io/name=kube-state-metrics
observability         service/kps-prometheus-node-exporter                        ClusterIP      10.43.222.194   <none>          9100/TCP                       145d   app.kubernetes.io/instance=kps,app.kubernetes.io/name=prometheus-node-exporter
observability         service/prometheus-operated                                 ClusterIP      None            <none>          9090/TCP                       145d   app.kubernetes.io/name=prometheus
observability         service/proxmox-exporter                                    ClusterIP      10.43.234.188   <none>          9221/TCP                       3d3h   app=proxmox-exporter
uptime-kuma           service/uptime-kuma                                         ClusterIP      10.43.203.183   <none>          80/TCP                         84m    app=uptime-kuma
